epoch,train_loss,val_loss,val_accuracy
1,0.5179451200264421,0.3795497636795044,0.8328
2,0.39596844413741067,0.33956191329956054,0.854
3,0.3529320731335743,0.31532519025802613,0.8632
4,0.32644100923260505,0.2863735168457031,0.8792
5,0.30572030147198925,0.29599363918304444,0.8744
6,0.2917161541567607,0.27456500368118286,0.8868
7,0.27937949444590643,0.26961291999816894,0.8884
8,0.26724618224596436,0.2649617311477661,0.8868
9,0.2570505255452273,0.279564861869812,0.8828
10,0.2406131402504715,0.2606232961654663,0.9048
11,0.22912557852793147,0.25277399129867556,0.8956
12,0.22038420996713368,0.24532795639038085,0.9032
13,0.21308865201320837,0.25951842374801637,0.9004
14,0.20046275467823513,0.2666181276321411,0.8932
15,0.1903089934282682,0.2743835039138794,0.898
